Data Broker Name,Email Address (Accessible to the public),Website URL,Privacy policy URL,Opt out URL,Physical Address,How a consumer may opt out of sale or submit requests under the CCPA,How a protected individual can demand deletion of information posted online under Gov. Code sections 6208.1(b) or 6254.21(c)(1),Additional information about data collecting practices,Date Added to California AG list ( https://oag.ca.gov/data-brokers ),Kanary,Vermont ID,stopdatamining.me,Criteo data partner,Excessive opt-out,Notes
Dun & Bradstreet Corp. (NYSE:DNB),,,,http://www.dnb.com/US/home/privacy_policy/index.html,,Email or telephone information requested.,,,,,,14 Apr 2020,,,
"eBureau, LLC",mick.forde [at] transunion.com,https://www.transunion.com/consumer-privacy,,,"555 West Adams StreetChicago, IL 60661United States",TransUnion provides two methods for consumers to submit requests under the CCPA and opt-out of the sale of their personal information. A consumer can visit the online portal at https://www.transunion.com/consumer-privacy or call 1-866-310-8783.,"TransUnion does not knowingly post online information governed by Gov. Code sections 6208.1(b) or 6254.21(c)(1) or maintain a website that allows others to post information and thereby create a risk of such information being posted online. However, a protected individual can call 1-866-310-8783 to demand deletion in the event any such information is posted online.",,03/03/2020,,,,,,
"Economic Modeling, LLC",legal [at] economicmodeling.com,https://www.economicmodeling.com/,,,"409 S. Jackson St.Moscow, ID 83843United States",,,,02/12/2020,,,,,,
"Edvisors Network, Inc.",lfainer [at] edvisors.com,http://www.edvisors.com,,,"10000 W. Charleston Blvd.Suite 200Las Vegas, NV 89135United States","Edvisors provides information relative to consumer opt-out in our Privacy Policy. Consumers are able to submit their request to
opt out through a webpage https://www.edvisors.com/third-party-opt-out/ which was created to provide a consumer the ability
to opt out of sharing and/or selling their personal information. We also honor opt out requests if submitted in any other manner,
e.g., email or chat.",N/A,N/A,01/31/2020,,367007,,,,"Edvisors Network, Inc."
"Ekata, Inc.",CCPArequest [at] ekata.com,http://www.ekata.com,,,"1301 Fifth AvenueSuite 1600Seattle, WA 98101United States",Complete form at: https://privacyrequests.ekata.com/hc/en-us/requests/new?,Complete form at: https://privacyrequests.ekata.com/hc/en-us/requests/new?,,02/27/2020,,367633,,,,"Ekata, Inc."
"Electronic Voice Services, Inc.",richard [at] evs7.com,https://www.telephonelists.biz,,,"8111 LYNDON B JOHNSON FWYSTE 1045DALLAS, TX 75251United States","By calling 800-713-8353 or 972-713-6622, or by filling out our online request form here: https://www.evs7.com/personal-information-request",We don't post any personal information online for public viewing.,We do not collect the personal information that we sell. We purchase that from a data broker.,02/12/2020,,367875,,,,"Electronic Voice Services, Inc."
"Elmira Industries, Inc (Operating under the assumed name of ""FirstChoice.""",newhomebuyerdata [at] aol.com,http://commercialemailing.com,,,"96 Main StreetBig Flats, NY 14814United States","I do not anticipate my business managing more than 50,000 California consumer records in 2020. As a small broker, my annual sales are not anywhere near $25,000,000 per year. With that being said, I will be recreating my website and providing consumers with a way of opting out of further sales of their personal information. Said website should be up and running by the end of this month.","I do not anticipate my business managing more than 50,000 California consumer records in 2020. As a small broker, my annual sales are not anywhere near $25,000,000 per year. With that being said, I will be recreating my website and providing consumers with a way of opting out of further sales of their personal information. Said website should be up and running by the end of this month. The method of opt out will be a online submission form that will record address and contact information, that way said information can be used to identify their information and remove it from current and future solicitation or sale.",,02/27/2020,,,,,,
Email Finder,,,,http://www.emailfinder.com/EFC.aspx?_act=Optout,,Look up your information. Fill out online form.,,,,,,14 Apr 2020,,,
"Email Marketing Services, Inc",dataprivacy [at] listmatch.com,https://listmatch.com,,,"264 Eisenhower Lane NorthLombard, IL 60148United States","A consumer can opt out by visiting our website and clicking in the footer ""Do Not Sell My Personal Information "". Which takes them to the following page https://listmatch.com/privacy/ from there they can manage their data record, delete the record. A consumer can also call Toll Free: (888) 757-2614 and ask to be out of data sales.",A protected individual can lookup their record at https://listmatch.com/privacy/ and request deletion of the entire data entry file. They can also call us Toll Free: (888) 757-2614 and ask to be deleted.,They can view are up to date data collecting practices in our privacy policy found on our website.,01/31/2020,,,,,,
"eMerges.com, INC",,www.eMerges.com,,,"212 Prince George St, Ste. B, Annapolis, MD, 21401, USA",,,,,,367083,,,,
"Enformion, Inc.",customercare [at] enformion.com,http://www.enformion.com,,,"1915 21st Streetsacramento, CA 95811United States",N/A. Enformion provides data that is comprised of publicly available information and information subject to the GLBA exemption under the CCPA.,A consumer may contact Customer Care or mail in their request at the business address.,Additional information may be found in our Privacy Policy at https://www.enformion.com/en/privacy/.,03/05/2020,,352648,,,,Enformion
"Engagement Media Company, LLC",rwright [at] engagementmediaco.com,http://engagementmediaco.com,,,"888 W. Big Beaver RoadSuite 360Troy, MI 48084United States","We have an opt-out button that is prominently displayed on our home page, under the label ""Do not sell my personal information""","We have an opt-out button that is prominently displayed on our home page, under the label ""Do not sell my personal information""",,03/03/2020,,,,,,
Ensighten,,,https://www.ensighten.com/privacy-policy/,,,,,,,,,,25 May 2020,,
"Entelo, Inc.",privacy [at] entelo.com,http://www.entelo.com,,,"775 Sansome St. Suite 100San Francisco, CA 94111United States","California residents that would like to opt-out of the sale of their information or request access to their information, should contact us:
by mail to: Entelo, Attn: Legal, 755 Sansome Street, Suite 100, San Francisco, CA 94111, USA, or
via email: privacy@entelo.com, or
by phone: (888) 402-3010
We prefer email.","A protected individual can demand deletion of any information that we may have on them by contacting us:
by mail to: Entelo, Attn: Legal, 755 Sansome Street, Suite 100, San Francisco, CA 94111, USA, or
via email: privacy@entelo.com, or
by phone: (888) 402-3010
We prefer email.",our data collecting practices are fully described on our privacy notice: https://www.entelo.com/privacy-policy/,02/12/2020,,,,,,
"Epsilon Data Management, LLC",privacy_EPS [at] lionresources.com,https://us.epsilon.com,,https://us.epsilon.com/consumer-information#Display,"11030 Circle Point Road, Suite 110Westminster, CO 80020United States","There are 2 methods by which a consumer may submit an opt-out of a sale request or other request under the CCPA: 
#1 - By phone, a consumer may call 1 (866)267-3861. 
#2 - By webform, a consumer may complete a form online at Epsilon.com/request.
•If a consumer moves or changes his/her name after opting out or after requesting to be deleted from the Epsilon database, he/she will need to submit a new request using his/her new name and/or address.","•In the ordinary course of its business, Epsilon does not publicly post or publicly display on the Internet the home address, home telephone number, or image of individuals, with the exception for employees’ pictures, posted with their knowledge.
•Notwithstanding the preceding sentence, to the extent that an individual wishes to demand deletion of information he/she believes was posted online by Epsilon in violation of Gov. Code Sections 6208.1and 6254.21(c)(1), he/she should submit a deletion request by contacting Epsilon Privacy at privacy_EPS@lionresources.com or at 11030 Circle Point Road, Suite 110, Westminster, CO 80020","1. Epsilon had 0 security breaches during the prior 12 months. 
2. Epsilon does not knowingly possess brokered personal information of minors.",01/31/2020,,352693,14 Apr 2020,,"Complete online form at https://us.epsilon.com/consumer-information#Display. Email optout@epsilon.com. Mail to: ""Epsilon, Attention: Privacy, P.O. Box 1478, Broomfield, CO 80038.""","Epsilon Data Management, LLC"
EQUIFAX INFORMATION SERVICES LLC,,www.equifax.com,,https://help.equifax.com/app/answers/detail/a_id/2/noIntercept/1/kw/prescreen,"1550 Peachtree Street, N.W., Atlanta, GA, 30309, USA",,,,,,353291,14 Apr 2020,,"Complete online form at www.optoutprescreen.com. Call toll free at 1-888-5-OPT OUT (or 1-888-567-8688). Mail to ""Equifax Information Services LLC, P.O. Box 740123, Atlanta, GA 30374-0123.""",
Eulerian,,,https://www.eulerian.com/en/privacy/,,,,,,,,,,25 May 2020,,
Exact Data,,exactdata.com,,,,,,,,,,,,,
Exactis,,exactis.com,,,,,,,,,,,,,
Experian Data Corp,,http://www.experian.com/rentbureau,,https://privacy.a.apps.experian.com/ccpa/,"475 Anton Blvd, Costa Mesa, CA, 92626, USA",,,,,,352781,,,,
"Experian Fraud Prevention Solutions, Inc.",,www.experian.com,,,"475 Anton Blvd, Costa Mesa, CA, 92626, USA",,,,,,352814,,,,
"Experian Health, Inc.",Erika.Usi [at] experian.com,https://www.experian.com/healthcare/,,,"720 Cool Springs Blvd.Suite 200Franklin, TN 37067United States","To exercise the right to opt out of the sale of information or submit a request under CCPA an consumer may contact Experian in the following way, as further described below:
•Online at experian.com/ccpa
•By phone at 1-833-210-4615
•By mail at PO Box 703, Allen, TX 75013
A consumer may also visit our Privacy Policy at https://www.experian.com/privacy/ccpa-privacy-policy",Experian does not engage in any practice subject to these laws.,,02/27/2020,,352783,,,,"Experian Health, Inc."
"Experian Information Solutions, Inc.",nerissa.rush [at] experian.com,http://www.experian.com,,,"475 Anton BlvdCosta Mesa, CA 92626United States","To exercise the right to opt out of the sale of information or submit a request under CCPA an consumer may contact Experian in the following way, as further described below:
•Online at experian.com/ccpa
•By phone at 1-833-210-4615
•By mail at PO Box 703, Allen, TX 75013
A consumer may also visit our Privacy Policy at https://www.experian.com/privacy/ccpa-privacy-policy",Experian does not engage in any practice subject to these laws.,,02/27/2020,,352780,,,,"Experian Information Solutions, Inc."
"Experian Marketing Solutions, LLC.",kai.hsien [at] experian.com,http://www.experian.com,,,"955 American LaneSchaumburg, IL 60173United States","To exercise the right to opt out of the sale of information or submit a request under CCPA an consumer may contact Experian in the following way, as further described below:
•Online at experian.com/ccpa
•By phone at 1-833-210-4615
•By mail at PO Box 703, Allen, TX 75013
A consumer may also visit our Privacy Policy at https://www.experian.com/privacy/ccpa-privacy-policy",Experian does not engage in any practice subject to these laws.,,02/27/2020,,367915,,,,"Experian Marketing Solutions, LLC"
Experian plc (LON:EXPN),,,,http://www.experian.com/privacy/opting_out_preapproved_offers.html,,"Complete online form at www.optoutprescreen.com. Call toll free at 1-888-5-OPT OUT (or 1-888-567-8688). Mail to ""Experian, Opt Out, P.O. Box 919, Allen, TX 75013.""",,,,,,14 Apr 2020,,,
"Exponential Interactive, Inc. doing business as VDX.tv",privacy [at] VDX.tv,http://vdx.tv,,,"5858 Horton StreetSuite 300Emeryville, CA 94133United States","7.CONTACT INFORMATION

Please contact us with any questions or concerns about this Policy using the information below:

United States Address
Exponential Interactive, Inc. doing business as VDX.tv
Attn: Legal Department
5858 Horton Street, Suite 300
Emeryville, CA 94608

United Kingdom Address
Exponential Interactive, Inc.
Attn: Data Privacy Officer
30 Stamford Street
London, SE19LQ

Email 
privacy@vdx.tv

Phone
(510) 250-5500

To protect the security of your information, we will take steps as we deem necessary to confirm your identity before completing your request or sharing any personal information with you.","7.CONTACT INFORMATION

Please contact us with any questions or concerns about this Policy using the information below:

United States Address
Exponential Interactive, Inc. doing business as VDX.tv
Attn: Legal Department
5858 Horton Street, Suite 300
Emeryville, CA 94608

United Kingdom Address
Exponential Interactive, Inc.
Attn: Data Privacy Officer
30 Stamford Street
London, SE19LQ

Email 
privacy@vdx.tv

Phone
(510) 250-5500

To protect the security of your information, we will take steps as we deem necessary to confirm your identity before completing your request or sharing any personal information with you.",N/A.,01/29/2020,,,,,,
"Factor Systems, Inc. dba Billtrust",ComplianceDept [at] billtrust.com,http://www.billtrust.com,,,"1009 Lenox DriveSuite 101Lawrenceville,, NJ 08648United States",A sole proprietor whose personal information we sell in the context of our credit application or credit management products may submit a request to opt out of sale of their personal information by filling out the form accessible at https://www.billtrust.com/do-not-sell-my-information/,"Factor Systems, Inc. does not knowingly and intentionally publicly post or publicly display on the Internet the home address, home telephone number, or image of any protected individuals by Gov. Code sections 6208.1(b) or 6254.21(c)(1).

Should an individual need to demand deletion of their information for any reason, they can request it by using the contact details provided at: https://www.billtrust.com/privacy-policy/#contact","The Company offers a platform that delivers business credit information to allow businesses to make informed credit decisions in a secure controlled environment. The Company obtains credit information by combining news, credit bureau data, financials, filings, news, with trade payments and instant peer references into one integrated platform. 

Subscribers to the service voluntarily submit to the Company information such as credit references, comments, trade accounts, receivables payment and detailed transaction data. They grant the Company a worldwide license to sell, display and distribute (inclusive to other globally recognized credit reporting bureaus), reproduce, reformat, combine with other data and use such Content in the products, services or data that we license, sell and/or provide to others. Documents, financials, etc., that subscribers upload to their private Virtual Credit File are confidential to the subscriber. 

The information that the Company compiles in the credit files (such as the information provided by credit bureaus) is subsequently made available to other customers of the Company. Since the Company does not always have a direct relationship with the customers of the subscribers, which can be sole proprietors at times, their personal information may be shared.",02/27/2020,,,,,,
"Factual, Inc.",privacy [at] factual.com,https://www.factual.com,,,"1999 Avenue of the Stars4th FloorLos Angeles, CA 90067United States","To opt out of a sale or submit other requests under the CCPA, consumers can call (855) 453-5310 or visit https://www.factual.com/ccpa-requests/ and submit a request through the applicable online form. For other questions, consumers can email privacy@factual.com. If necessary, Factual may request additional information to verify a consumer’s identity and complete the request.","Any individual can submit a deletion request at https://www.factual.com/ccpa-requests/ through the applicable online form or by calling (855) 453-5310. If necessary, Factual may request additional information to verify an individual’s identity and complete the request.","Factual is a location data company empowering the world’s leading marketers with high quality location data to better understand, reach and engage consumers. For more information about Factual’s practices, please see Factual’s privacy policies at https://www.factual.com/privacy/. Information regarding Factual’s practices for its website(s), app(s), and corporate communications can be found at https://www.factual.com/privacy/site/. Information regarding Factual’s practices for its services can be found at https://www.factual.com/privacy/services/.",01/31/2020,,,,,,
Fair Isaac Corporation (NYSE:FICO),SharingOptOut@FICO.com,http://www.myfico.com/policy/privacypolicy.aspx,,http://www.myfico.com/policy/privacypolicy.aspx,,Call 1-888-FICO-EDM (1-888-342-6336). Email request to SharingOptOut@FICO.com.,,,,,,14 Apr 2020,,,
FamilyTreeNow,,,,https://www.familytreenow.com/optout,,,,,,13 Apr 2020,,,,,
"Faraday, Inc.",ccpa [at] faraday.io,https://faraday.io/,,,"431Pine StBurlington, VT 05677United States","A sale opt-out request can be made by emailing us, calling us, or filling out our online web form linked to on the bottom of every page of our website. Contact details can be found in our privacy policy.",Please see our privacy policy.,Please see our privacy policy.,03/03/2020,,,,,,
fast people search,,,,,,,,,,13 Apr 2020,,,,,
"FD Holdings, LLC dba Factual Data",,https://www.factualdata.com/,,,"5100 Hahns Peak Drive, Loveland, CO, 80538, USA",,,,,,367693,,,,
Fifty Technology Ltd,privacy [at] fifty.io,http://fifty.io,,,24 Hanover Square4th FloorLondonW1S 1JDUnited Kingdom,"For details on our opt-out process, please refer to our privacy policy at https://fifty.io/privacy-policy.php",,We work with data aggregators and collect personal information (cookie data and other online identifiers tied to PI),03/03/2020,,,,,,
First American Data Tree LLC,,www.datatree.com,,,"4 First American Way, Santa Ana, CA, 92707, USA",,,,,,367139,,,,
"First Direct, Inc.",support [at] firstdirectmarketing.com,http://www.firstdirectmarketing.com,,,"1508 J F Kennedy DrSuite 103Bellevue, NE 68005United States",Consumers can directly go to https://alerts.com/ and both search and submit requests.,The consumer can go directly to https://alerts.com/ and request deletion of their information.,Consumers can refer to our published privacy policy at : https://www.firstdirectmarketing.com/privacy-policy/,01/30/2020,,366926,,,,"First Direct, Inc. and its subsidiaries/affiliates"
"First Movers Advantage, LLC",privacy [at] fmadata.com,https://www.fmadata.com/,,,"2575 Pearl St, Ste 230Boulder, CO 80302United States",We offer online and mail-in options. See https://www.fmadata.com/do-not-sell-my-personal-information,We offer online and mail-in options as described on our California Privacy Policy. See https://www.fmadata.com/privacy-policy-california,We gather real estate market data and county public record data.,02/27/2020,,,,,,
"First Orion, Inc.",cdenton [at] firstorion.com,http://www.firstorion.com,,,"500 President Clinton Ave, Ste. 215Little Rock, AR 72201United States","First Orion provides a website where a consumer can exercise their rights to Access, Delete & Opt-Out for our Call Knowledge products at privacy.firstorion.com. The website can also be found on our company website in the footer at the link ‘Do Not Sell My Personal Information’. If the consumer does not have access to a computer or email address, then they can opt-out via postal mail at First Orion Compliance Department, ATTN: Opt-Out, 500 President Clinton Avenue, Ste. 215, Little Rock, AR 72201 or by calling the following toll free number 1.877.640.4220.",First Orion does not post any consumer information online.,"First Orion’s products and services include various features and functionality to tell you who is calling and why, identify and block businesses who are likely scammers, do reverse telephone number lookups, file complaints, report call violations to the proper authorities, and provide enhanced information that can be displayed on your device. Some of these services are provided through our telecommunications carrier clients, while others are delivered directly to the consumer via our apps. In addition, our Call Knowledge Suite helps companies verify who that phone number belongs to, what type of device it is, and whether a number is in service. To learn more visit our US Privacy Policy at https://firstorion.com/privacy-policy/.",01/30/2020,,353362,,,,FIRST ORION CORPORATION
"FOREWARN, LLC",legal.compliance [at] forewarn.com,http://www.forewarn.com,,,"2650 N. Military TrailSuite 300Boca Raton, FL 33431United States","For information about CCPA rights, please visit our privacy policy at www.forewarn.com/privacy-policy/.",FOREWARN does not publicly post or publicly display personal information on the Internet.,Additional information about FOREWARN’s data collection practices can be found at www.forewarn.com/privacy-policy/.,02/12/2020,,367831,,,,"FOREWARN, LLC"
"Foursquare Labs, Inc.",privacy [at] foursquare.com,http://www.foursquare.com,,,"50 W 23rd Street, 8th FloorNew York, NY 10010United States","A consumer may opt of sale or submit a CCPA request in a number of ways. A consumer may contact us using our toll free number or by email address listed on our website and in our privacy policy. If consumers wish to opt out of sale themselves, there is a convenient opt out button on our homepage. In addition, for consumers who have an account with us, they may submit a right to know request or a deletion request themselves through their account settings.",An individual may contact us to demand deletion of information posted on our websites or apps by contacting us by email or our toll free number.,"As a company with a long history of consumer apps, Foursquare is dedicated and has a strong core belief in protecting the privacy of consumers.",02/07/2020,,,,,,
Freckle I.O.T. Ltd.,privacy [at] freckleiot.com,https://freckleiot.com/,,,"409 King St WSuite 400Toronto, ON M5V1K1Canada","When we obtain Data from App partners, we make reasonable efforts to contract with partners who disclose to their own users matters regarding their use of mobile data for interest-based advertising purposes, and regarding end-user opt-out rights.

End Users may manage certain collection and sharing of Information in connection with their Devices as follows:

Apple devices

If you have an Apple device, you can opt out of app-based tracking for interest-based advertising by updating to iOS 6.0 or higher, and setting Limit Ad Tracking to ‘ON’. For iOS 6, you can do this by selecting Settings -> General -> About -> Advertising and toggling Limit Ad Tracking to ‘ON’. For iOS 7 and higher, you can do this by selecting Settings -> Privacy -> Advertising and toggling Limit Ad Tracking to ‘ON’. You can obtain further information on how to limit ad tracking on your iOS device or to reset your IDFA here: IDFA Opt-Out (https://support.apple.com/en-ca/HT202074).

Android devices

If you have an Android device, you can opt out app-based tracking for interest-based advertising by taking the following steps i) Open the Google Settings app on your device; ii) Select “Ads”; and iii) Opt out of interest-based ads. You can obtain further information about how identifiers on mobile are used for advertising and receive instruction for how to opt out of mobile advertising here: Google Privacy & Terms webpage (https://support.google.com/adsense/troubleshooter/1631343).

Cross device data collection

If you would like to opt out of cross-device data collection, please follow the instructions at
https://www.tapad.com/privacy-policy.
Opting out of cross device data collection will remove your browser or device from the device graph. You will be required to opt out individually on each of your browsers and on all of your devices.","A protected individual can demand the deletion of information by contacting us. The individual can complete a ""do not sell my information"" request by providing us with the following information:

First name
Last name
Email
Address
City
State
Postal Code
Country

To contact us concerning this, please send a letter to:

 Attn: Privacy Officer
Freckle IoT
409 King St. West
Suite 400
Toronto, ON
M5V 1K1
Email: privacy@freckleiot.com","Freckle collects Data using our proprietary technology (often referred to as a software development kit or “SDK”). We may also collect Data through sever-to-server integrations or other Application Program Interfaces (“API”’s). The integration will enable Freckle to collect data from third-party devices present at certain third-party locations. Such devices may use Wi-Fi, near field communication (“NFC”), or Bluetooth low-energy (“BLE”) beacon technology to transmit signals about the location of Devices to us. Once Freckle obtains this Information, it will transmit that data though an API, in encrypted form, via a HTTPS protocol to its data management platform, make inferences (the “Inferences”), as defined below, about the Device user’s interests.

Freckle uses “pixel tags” and/or “cookies” in order to provide reporting on ad delivery in a pseudonymous manner. Pixel tags are small bits of code that provide delivery information on a webpage. This allows the operator of the page or a third party to collect the IP address of the users of the page. Cookies are small text files that are stored on the browser of a computer that uniquely identify the browser and provide information to the cookie sender. Many websites send cookies to the browsers that are visiting those sites, and many browsers are initially configured to accept cookies. Users can change the browser settings to refuse cookies or to alert them when a cookie has been placed on their browser. The user can check the browser for details in this regard.

Freckle engages in cross device data collection which refers to the process of collecting data from separate devices that have been determined through statistical analysis to be linked or related. Freckle, or partners that we employ to provide this service, use cross device data to provide reporting on offline attribution associated with cross device advertising.",03/11/2020,,,,,,
Gale,privacy [at] cengage.com,http://www.gale.com,,,"27500 Drake RoadFarmington Hills, MI 48331United States",Consumers should go to www.gale.com/privacy to submit CCPA requests or e-mail privacy@cengage.com.,Consumers should go to www.gale.com/privacy to submit CCPA requests or e-mail privacy@cengage.com.,Consumers can visit www.gale.com/privacy to find more information about data collection practices.,03/23/2020,,368126,,,,Gale
"General Information Solutions LLC (""GIS"")",,,,,"917 Chapin Road, Chapin, SC, 29036, USA",,,,,,366589,,,,
"Giant Partners, Inc",Sheldon [at] Giantpartners.com,http://Giantpartners.com,,,"1461 Lawrence Dr2nd FloorThousand Oaks, CA 91320United States","Our Website has been updated with CCPA verbiage, forms and phone number(s) as required by the California Consumer Protection Act.","Our Website has been updated with CCPA verbiage, forms and phone number(s) as required by the California Consumer Protection Act. Once a consumer has been verified to be in our database, as required in the CCPA, verified consumers can have their information removed permanently.",,01/22/2020,,,,,,
"Granite Lists, LLC",,,,,"Post Office Box 3084, Post Office Box 3084, Peterborough, NH, 03458, USA",,,,,,367232,,,,
"Gravy Analytics, Inc.",legal [at] gravyanayltics.com,https://gravyanalytics.com/,,,"45610 Woodland Rd.Suite 100Sterling, VA 20166United States","For any requests related to the CCPA, a protected individual may contact us by any of the following mechanisms:

1) Emailing us at legal@gravyanalytics.com; or
2) Calling the following toll-free number: 1-855-545-5623
 
In addition, a consumer may opt-out of the sale of their personal information by filling out Gravy's Opt-Out and Do not Sell form, available at: https://gravyanalytics.com/opt-out-form/. The form provides instructions for a consumer to identify their Mobile Advertiser Id (this is the ID Gravy Analytics utilizes in its provision of data services). Upon receipt of an opt-out request, Gravy Analytics will remove all data in our data sets related to such Mobile Advertiser Id.","A protected individual may submit a deletion request by:

1) Emailing us at legal@gravyanalytics.com;
2) Calling the following toll-free number: 1-855-545-5623; or
3) Submitting the Opt-Out and Do not Sell form (available at, https://gravyanalytics.com/opt-out-form/)","Gravy Analytics takes privacy seriously. Gravy Analytics sources data from third party data providers. All of our third data providers are appropriately vetted, required to complete a privacy questionnaire, and contractually represent and warrant they have complied with all applicable laws as it relates to their collection, use, and transfer of consumer personal information. Please visit our Privacy Policy at http://docs.gravyanalytics.com/privacypolicy.html and our California Resident's Notice at http://docs.gravyanalytics.com/privacypolicy_ca.html to learn more about our privacy practices.",02/07/2020,,366919,,,,"Gravy Analytics, Inc."
"GrayHair Software, LLC",privacy [at] grayhairsoftware.com,http://www.grayhairsoftware.com,,,"124 Gaither DriveSuite 160Mount Laurel, NJ 08054United States","Per our posted Privacy Notice: 
Do Not Sell My Personal Information – Please send an email to privacy@grayhairsoftware.com and you will receive a form that will enable you to halt an activity regarding your personal information.","Per our posted Privacy Notice:
Right to deletion – You have the right to request deletion of personal information collected by GrayHair, unless an exception applies. GrayHair will remove any non-publicly sourced data upon request. GrayHair may refuse to delete personal information for the following reasons:
If the personal information is needed to complete a contract or provide a good or service requested by you;
It is necessary for the detection of security incidents, to protect against malicious, deceptive, fraudulent, or illegal activity, or to prosecute those responsible for that activity, and to debug and repair errors that impair existing functionality;
It is necessary for compliance with GrayHair’s legal obligations;
It is collected and maintained for peer reviewed, scientific, historical, or statistical research;
Allowing for the exercise of free speech, ensuring the rights of other consumers to exercise free speech, or allowing the exercise of another right provided by law;
It is necessary to enable solely internal uses that are reasonably aligned with the expectations of the consumer based on the consumer’s relationship with the business.
Contact email for deletion is to privacy@grayhairsoftware.com",,02/27/2020,,,,,,
GumGum Inc.,dataprivacy [at] gumgum.com,https://gumgum.com/,,,"1314 7th St4th floorSanta Monica, CA 90401United States","“Opt-out” form and button located within Terms & Policies on website, as well as OneTrust ""Do not sell"" button leading to a subject access form.","We have an opt-out phone number 1-866-I-OPT-OUT Service # 319 where requests can be left, as well as a direct email account (dataprivacy@gumgum.com), and a OneTrust ""Do not sell"" button leading to a subject access form.","Our opt-out page reads as follows: 
At GumGum, we believe in making advertising as relevant and engaging as possible to enhance your experience across our premium platform. In order to do this, we use cookies to collect non-personally identifiable information about the pages you visit on the partner websites in which GumGum is enabled.

We also respect your privacy. If you prefer we do not use this type of log data for serving ads that are more relevant to your interests, please click the “opt-out” button below. Selecting this option lets us know not to use information about your web browsing behavior for ad targeting (also known as ‘behavioral advertising’).

By choosing to “opt-out”, you are opting out of the behavioral targeting. This means you will still receive GumGum ads, they will just not be specifically targeted to you/your interests.",02/07/2020,,,,,,
Gunderson Direct,jeff [at] gundir.com,https://gundersondirect.com/,,,"1275 A StreetHayward, CA 94541United States",By communicating that desire in writing to our company or one of our clients.,By written request to our company or one of our clients.,"Important - We do not collect, compile or house any data. We rent names from OTHER data brokers on behalf of clients for the purposes of direct mail and work with secure data manipulators to manage data requirements for mailings.",02/12/2020,,,,,,
Haines Criss+Cross,,,,http://www.haines.com/privacy1.htm,,Email or mail information requested.,,,,,,14 Apr 2020,,,
"Harmon Research Group, LLC",Info [at] harmonresearch.com,http://www.harmonresearch.com,,,"751 S Weir Canyon RdSuite 157622Anaheim, CA 92808United States","Please submit an email to info@harmonresearch.com to be removed from any of our market research studies. They may also go to http://www.harmonresearch.com/ and click on ""Privacy Policy"" to see other options.","Please submit an email to info@harmonresearch.com to be removed from any of our market research studies. They may also go to http://www.harmonresearch.com/ and click on ""Privacy Policy"" to see other options.",Harmon Research is a market research / insights firm. We consult and conduct surveys for various agencies around the world. We do not do any marketing from our data collection lists and our data is used for statistical purposes only.,03/03/2020,,,,,,
"Harte-Hanks, Inc. (NYSE:HHS)",privacychoices@hartehanks.com,,,www.hartehanks.com/privacy/preferences,,"Complete online form at www.hartehanks.com/privacy/preferences. Mail to ""Harte-Hanks, Inc., Attention: Corporate Privacy Manager, 2800 Wells Branch Parkway, Austin, TX 78728 USA.""",,,,,,14 Apr 2020,,,
"HEALTHCARE, INC.",privacy [at] healthcare.com,https://www.healthcare.com/,,,"3401 N Miami Avenue, Suite 205Miami, FL 33127United States","We have enabled an online form at our website to submit CCPA Data Disclosure and Deletion requests (https://www.healthcare.com/data-request/request-form)

As a secondary method we have enable communication trough our email address info@healthcare.com","We have enabled an online form at our website to submit CCPA Data Disclosure and Deletion requests (https://www.healthcare.com/data-request/request-form)

As a secondary method we have enable communication trough our email address info@healthcare.com","healthcare.com uses personal data that is voluntarily provided to help consumers find insurance plans, including by connecting them with insurance agents.",02/27/2020,,367078,,,,HealthCare.com
Hearts & Science,,,,,,,,,,,,,,,Part of Omnicom.
HERE North America LLC,privacy [at] here.com,http://www.here.com,,,"425 W Randolph StreetChicago, IL 60606United States","A consumer may opt out of sale or submit requests under the CCPA by accessing our webform at https://legal.here.com/privacy/rights, by email at CAprivacy@here.com, or by phone at 1-833-721-0735 . Additional information related to our sale opt out practices is available at https://legal.here.com/privacy/do-not-sell.","An individual can demand deletion of information posted online under Gov. Code sections 6208.1(b) or 6254.21(c)(1) by submitting the request to CAprivacy@here.com, or by accessing our webform at https://legal.here.com/privacy/rights.",,02/27/2020,,,,,,
